time,takeoff_count,total_ticks_on_surface,callsign,state,speed,is_delayed,itinerary_index,uncertainty_delayed_index,scheduler_delayed_index,takeoff,atgate_cnt
"07:16:30",2,42,"AA700-D","pushback",100.0,false,2,[],[],false,1
"07:16:30",2,42,"WN1086-D","pushback",100.0,false,2,[],[],false,1
"07:16:30",2,42,"UA5219-A","taxi",75.0,false,1,[],[],false,0
"07:16:30",2,42,"UA577-D","pushback",100.0,false,2,[],[],false,1
"07:17:00",2,42,"AS3370-D","taxi",350.0,false,18,[],[],false,1
"07:17:00",2,42,"AS1302-D","ramp",95.86681895733325,false,3,[],[],false,2
"07:17:00",2,42,"UA5667-A","ramp",200.0,false,9,[],[],false,0
"07:17:00",2,42,"AA343-D","taxi",350.0,false,10,[],[],false,5
"07:17:00",2,42,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:17:00",2,42,"UA2068-A","taxi",350.0,false,3,[],[],false,0
"07:17:00",2,42,"AA700-D","ramp",175.0,false,3,[],[],false,1
"07:17:00",2,42,"WN1086-D","pushback",100.0,false,2,[],[],false,1
"07:17:00",2,42,"UA5219-A","taxi",150.0,false,2,[],[],false,0
"07:17:00",2,42,"UA577-D","pushback",100.0,false,2,[],[],false,1
"07:17:30",2,42,"AS3370-D","taxi",350.0,false,19,[],[],false,1
"07:17:30",2,42,"AS1302-D","ramp",170.86681895733324,false,5,[],[],false,2
"07:17:30",2,42,"UA5667-A","ramp",200.0,false,10,[],[],false,0
"07:17:30",2,42,"AA343-D","taxi",350.0,false,10,[],[],false,5
"07:17:30",2,42,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:17:30",2,42,"UA2068-A","taxi",350.0,false,3,[],[],false,0
"07:17:30",2,42,"AA700-D","taxi",250.0,false,4,[],[],false,1
"07:17:30",2,42,"WN1086-D","pushback",100.0,false,2,[],[],false,1
"07:17:30",2,42,"UA5219-A","taxi",225.0,false,2,[],[],false,0
"07:17:30",2,42,"UA577-D","pushback",100.0,false,2,[],[],false,1
"07:18:00",2,42,"AS3370-D","taxi",350.0,false,21,[],[],false,1
"07:18:00",2,42,"AS1302-D","ramp",200.0,false,8,[],[],false,2
"07:18:00",2,42,"AA343-D","taxi",350.0,false,11,[],[],false,5
"07:18:00",2,42,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:18:00",2,42,"UA2068-A","taxi",350.0,false,3,[],[],false,0
"07:18:00",2,42,"AA700-D","taxi",325.0,false,4,[],[],false,1
"07:18:00",2,42,"WN1086-D","pushback",95.92965226951162,false,2,[],[],false,1
"07:18:00",2,42,"UA5219-A","taxi",300.0,false,2,[],[],false,0
"07:18:00",2,42,"UA577-D","pushback",100.0,false,2,[],[],false,1
"07:18:00",2,42,"AS426-A","taxi",0.0,false,0,[],[],false,0
"07:18:30",2,42,"AS3370-D","taxi",350.0,false,21,[],[],false,1
"07:18:30",2,42,"AS1302-D","ramp",200.0,false,10,[],[],false,2
"07:18:30",2,42,"AA343-D","taxi",350.0,false,11,[],[],false,5
"07:18:30",2,42,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:18:30",2,42,"UA2068-A","taxi",350.0,false,3,[],[],false,0
"07:18:30",2,42,"AA700-D","taxi",350.0,false,4,[],[],false,1
"07:18:30",2,42,"WN1086-D","pushback",100.0,false,2,[],[],false,1
"07:18:30",2,42,"UA5219-A","taxi",350.0,false,3,[],[],false,0
"07:18:30",2,42,"UA577-D","ramp",175.0,false,3,[],[],false,1
"07:18:30",2,42,"AS426-A","taxi",0.0,false,0,[],[],false,0
"07:19:00",3,71,"AS1302-D","taxi",275.0,false,13,[],[],false,2
"07:19:00",3,71,"AA343-D","taxi",350.0,false,11,[],[],false,5
"07:19:00",3,71,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:19:00",3,71,"UA2068-A","taxi",350.0,false,3,[],[],false,0
"07:19:00",3,71,"AA700-D","taxi",350.0,false,6,[],[],false,1
"07:19:00",3,71,"WN1086-D","ramp",175.0,false,3,[],[],false,1
